Kare_No,PSNR_dB,SSIM
0,34.44,0.9543
1,34.44,0.9544
2,34.44,0.9543
3,34.44,0.9544
4,34.43,0.9542
5,34.44,0.9544
6,34.44,0.9543
7,34.44,0.9544
8,34.43,0.9543
9,34.44,0.9543
10,34.44,0.9542
11,34.43,0.9542
12,34.43,0.9542
13,34.44,0.9543
14,34.44,0.9542
15,34.44,0.9542
16,34.43,0.9542
17,34.44,0.9543
18,34.44,0.9543
19,34.43,0.9543
20,34.43,0.9542
21,34.44,0.9543
22,34.43,0.9543
23,34.43,0.9543
24,34.43,0.9542
25,34.44,0.9543
26,34.44,0.9542
27,34.44,0.9542
28,34.43,0.9542
29,34.45,0.9544
30,34.48,0.9546
31,34.51,0.9549
32,34.59,0.9551
33,34.72,0.9559
34,34.78,0.9562
35,34.88,0.9566
36,34.92,0.9568
37,34.99,0.9573
38,34.99,0.9574
39,35.01,0.9576
40,35.03,0.9577
41,35.08,0.9581
42,35.12,0.9584
43,35.13,0.9583
44,35.13,0.9583
45,35.15,0.9583
46,35.13,0.9581
47,35.09,0.9577
48,35.01,0.9574
49,34.94,0.9573
50,34.85,0.9571
51,34.76,0.9569
52,34.67,0.9567
53,34.64,0.9571
54,34.61,0.9573
55,34.63,0.9579
56,34.60,0.9580
57,34.61,0.9585
58,34.59,0.9585
59,34.57,0.9588
60,34.52,0.9585
61,34.52,0.9591
62,34.48,0.9588
63,34.47,0.9590
64,34.43,0.9587
65,34.43,0.9591
66,34.40,0.9589
67,34.39,0.9589
68,34.36,0.9586
69,34.36,0.9588
70,34.34,0.9586
71,34.33,0.9586
72,34.31,0.9583
73,34.30,0.9585
74,34.27,0.9582
75,34.25,0.9582
76,34.22,0.9577
77,34.21,0.9578
78,34.19,0.9576
79,34.18,0.9575
80,34.15,0.9572
81,34.15,0.9574
82,34.14,0.9572
83,34.14,0.9572
84,34.12,0.9570
85,34.12,0.9573
86,34.12,0.9572
87,34.11,0.9572
88,34.10,0.9569
89,34.11,0.9571
90,34.10,0.9570
91,34.10,0.9570
92,34.10,0.9567
93,34.10,0.9568
94,34.10,0.9566
95,34.10,0.9566
96,34.09,0.9565
97,34.11,0.9568
98,34.11,0.9568
99,34.12,0.9569
100,34.10,0.9565
101,34.13,0.9570
102,34.13,0.9569
103,34.14,0.9569
104,34.11,0.9565
105,34.13,0.9568
106,34.13,0.9567
107,34.13,0.9567
108,34.12,0.9565
109,34.13,0.9566
110,34.13,0.9566
111,34.13,0.9566
112,34.13,0.9563
113,34.15,0.9566
114,34.15,0.9564
115,34.15,0.9565
116,34.14,0.9562
117,34.16,0.9565
118,34.14,0.9563
119,34.14,0.9563
120,34.13,0.9561
121,34.13,0.9564
122,34.13,0.9563
123,34.12,0.9563
124,34.12,0.9562
125,34.13,0.9564
126,34.13,0.9563
127,34.13,0.9563
128,34.13,0.9561
129,34.13,0.9562
130,34.13,0.9561
131,34.13,0.9561
132,34.12,0.9559
133,34.13,0.9561
134,34.12,0.9560
135,34.12,0.9559
136,34.11,0.9557
137,34.11,0.9559
138,34.10,0.9556
139,34.10,0.9556
140,34.09,0.9554
141,34.09,0.9555
142,34.09,0.9555
143,34.09,0.9554
144,34.09,0.9553
145,34.09,0.9554
146,34.09,0.9554
147,34.09,0.9555
148,34.08,0.9553
149,34.08,0.9555
150,34.08,0.9556
151,34.08,0.9556
152,34.07,0.9555
153,34.08,0.9557
154,34.07,0.9556
155,34.07,0.9558
156,34.07,0.9557
157,34.07,0.9559
158,34.07,0.9559
159,34.07,0.9559
160,34.07,0.9558
161,34.07,0.9559
162,34.07,0.9559
163,34.07,0.9558
164,34.07,0.9558
165,34.08,0.9559
166,34.08,0.9559
167,34.08,0.9559
168,34.07,0.9559
169,34.10,0.9562
170,34.11,0.9564
171,34.10,0.9562
172,34.16,0.9568
173,34.18,0.9570
174,34.22,0.9575
175,34.23,0.9574
176,34.22,0.9574
177,34.18,0.9570
178,34.17,0.9566
179,34.04,0.9556
180,33.92,0.9551
181,33.83,0.9542
182,33.82,0.9539
