Kare_No,PSNR_dB,SSIM
0,37.45,0.9704
1,37.47,0.9705
2,37.46,0.9705
3,37.47,0.9706
4,37.45,0.9705
5,37.46,0.9705
6,37.45,0.9704
7,37.46,0.9705
8,37.45,0.9705
9,37.45,0.9703
10,37.46,0.9703
11,37.46,0.9704
12,37.46,0.9703
13,37.45,0.9704
14,37.46,0.9703
15,37.46,0.9703
16,37.46,0.9703
17,37.46,0.9704
18,37.46,0.9704
19,37.47,0.9704
20,37.46,0.9703
21,37.46,0.9703
22,37.46,0.9703
23,37.47,0.9704
24,37.47,0.9703
25,37.48,0.9704
26,37.46,0.9703
27,37.48,0.9703
28,37.46,0.9702
29,37.50,0.9705
30,37.53,0.9706
31,37.59,0.9709
32,37.66,0.9709
33,37.86,0.9715
34,37.95,0.9717
35,38.13,0.9721
36,38.15,0.9721
37,38.29,0.9725
38,38.23,0.9725
39,38.27,0.9727
40,38.30,0.9727
41,38.43,0.9731
42,38.51,0.9733
43,38.51,0.9732
44,38.53,0.9731
45,38.60,0.9731
46,38.61,0.9729
47,38.61,0.9727
48,38.50,0.9726
49,38.40,0.9725
50,38.25,0.9723
51,38.11,0.9723
52,38.04,0.9722
53,38.00,0.9726
54,37.98,0.9728
55,38.02,0.9733
56,37.98,0.9733
57,38.01,0.9736
58,38.01,0.9736
59,38.00,0.9738
60,37.93,0.9735
61,37.94,0.9740
62,37.90,0.9739
63,37.89,0.9740
64,37.86,0.9739
65,37.86,0.9743
66,37.84,0.9741
67,37.81,0.9741
68,37.77,0.9739
69,37.77,0.9741
70,37.77,0.9740
71,37.74,0.9739
72,37.70,0.9737
73,37.67,0.9738
74,37.62,0.9737
75,37.59,0.9737
76,37.53,0.9732
77,37.54,0.9734
78,37.52,0.9732
79,37.52,0.9732
80,37.49,0.9730
81,37.52,0.9731
82,37.51,0.9730
83,37.51,0.9730
84,37.49,0.9728
85,37.51,0.9731
86,37.52,0.9731
87,37.53,0.9731
88,37.52,0.9729
