Kare_No,PSNR_dB,SSIM
0,37.37,0.9705
1,37.39,0.9706
2,37.39,0.9705
3,37.39,0.9706
4,37.38,0.9705
5,37.38,0.9705
6,37.38,0.9705
7,37.38,0.9706
8,37.38,0.9705
9,37.38,0.9704
10,37.38,0.9704
11,37.39,0.9704
12,37.38,0.9704
13,37.38,0.9704
14,37.39,0.9703
15,37.39,0.9704
16,37.39,0.9704
17,37.39,0.9704
18,37.39,0.9704
19,37.40,0.9705
20,37.39,0.9704
21,37.39,0.9704
22,37.39,0.9704
23,37.40,0.9704
24,37.40,0.9704
25,37.41,0.9705
26,37.40,0.9703
27,37.41,0.9704
28,37.39,0.9702
29,37.43,0.9705
30,37.46,0.9706
31,37.51,0.9709
32,37.58,0.9709
33,37.77,0.9715
34,37.86,0.9717
35,38.04,0.9721
36,38.05,0.9721
37,38.17,0.9725
38,38.11,0.9725
39,38.13,0.9727
40,38.17,0.9727
41,38.29,0.9730
42,38.35,0.9733
43,38.35,0.9732
44,38.38,0.9730
45,38.45,0.9730
46,38.47,0.9729
47,38.47,0.9727
48,38.38,0.9725
49,38.30,0.9726
50,38.16,0.9724
51,38.03,0.9723
52,37.96,0.9723
53,37.92,0.9727
54,37.88,0.9729
55,37.92,0.9734
56,37.88,0.9734
57,37.91,0.9737
58,37.91,0.9737
59,37.90,0.9739
60,37.83,0.9737
61,37.84,0.9742
62,37.80,0.9740
63,37.79,0.9742
64,37.76,0.9740
65,37.76,0.9744
66,37.73,0.9743
67,37.71,0.9743
68,37.67,0.9740
69,37.67,0.9742
70,37.66,0.9742
71,37.63,0.9741
72,37.60,0.9739
73,37.57,0.9740
74,37.52,0.9738
75,37.49,0.9739
76,37.44,0.9734
77,37.45,0.9736
78,37.43,0.9734
79,37.43,0.9734
80,37.41,0.9732
81,37.43,0.9733
82,37.42,0.9732
83,37.42,0.9732
84,37.40,0.9731
85,37.42,0.9733
86,37.43,0.9733
87,37.43,0.9733
88,37.43,0.9731
89,37.44,0.9732
90,37.44,0.9732
91,37.45,0.9732
92,37.44,0.9731
93,37.45,0.9732
94,37.46,0.9731
95,37.48,0.9731
96,37.46,0.9730
97,37.48,0.9732
98,37.49,0.9733
99,37.51,0.9734
100,37.47,0.9731
101,37.51,0.9736
102,37.53,0.9734
103,37.52,0.9735
104,37.48,0.9731
105,37.52,0.9734
106,37.51,0.9732
107,37.51,0.9732
108,37.49,0.9730
109,37.51,0.9731
110,37.51,0.9731
111,37.51,0.9730
112,37.48,0.9729
113,37.52,0.9731
114,37.51,0.9729
115,37.52,0.9729
116,37.50,0.9726
117,37.52,0.9729
