Frame_No,Process_Time_ms,Instant_FPS
0,417.51,2.40
1,56.22,17.79
2,45.28,22.08
3,46.71,21.41
4,45.84,21.82
5,44.63,22.41
6,44.41,22.52
7,44.41,22.52
8,42.07,23.77
9,43.60,22.94
10,44.59,22.42
11,44.07,22.69
12,44.02,22.72
13,44.66,22.39
14,44.76,22.34
15,45.19,22.13
16,44.79,22.32
17,45.72,21.87
18,44.90,22.27
19,44.81,22.32
20,45.21,22.12
21,44.91,22.27
22,44.97,22.24
23,44.16,22.64
24,44.97,22.24
25,45.15,22.15
26,45.08,22.18
27,41.37,24.17
28,44.09,22.68
29,47.23,21.17
30,45.44,22.01
31,44.89,22.28
32,45.16,22.14
33,44.88,22.28
34,44.52,22.46
35,44.25,22.60
36,44.54,22.45
37,44.49,22.48
38,44.73,22.36
39,44.32,22.56
40,45.55,21.95
41,46.29,21.60
42,45.18,22.13
43,44.97,22.24
44,45.27,22.09
45,44.61,22.42
46,45.14,22.15
47,44.81,22.32
48,44.64,22.40
49,45.30,22.08
50,45.05,22.20
51,43.11,23.20
52,44.57,22.44
53,44.47,22.49
54,44.68,22.38
55,44.70,22.37
56,44.79,22.33
57,45.27,22.09
58,44.48,22.48
59,45.39,22.03
60,45.99,21.75
61,44.95,22.25
62,44.97,22.24
63,45.19,22.13
64,45.28,22.08
65,44.67,22.39
66,45.05,22.20
67,45.03,22.21
68,44.62,22.41
69,44.72,22.36
70,44.31,22.57
71,44.59,22.43
72,44.37,22.54
73,45.27,22.09
74,44.85,22.30
75,45.65,21.91
76,45.47,21.99
77,45.26,22.09
78,44.60,22.42
79,44.64,22.40
80,45.26,22.09
81,45.11,22.17
82,44.84,22.30
83,45.27,22.09
84,44.80,22.32
85,44.84,22.30
86,44.75,22.35
87,45.28,22.08
88,45.36,22.05
89,45.52,21.97
90,44.47,22.49
91,46.15,21.67
92,44.82,22.31
93,44.81,22.32
94,44.97,22.24
95,44.81,22.32
96,45.02,22.21
97,44.76,22.34
98,44.26,22.59
99,45.22,22.11
100,45.11,22.17
101,43.75,22.86
102,46.06,21.71
103,45.34,22.06
104,44.68,22.38
105,45.12,22.16
106,44.03,22.71
107,44.71,22.37
108,45.09,22.18
109,44.10,22.68
110,45.53,21.96
111,44.61,22.41
112,45.08,22.18
113,41.25,24.24
114,44.61,22.42
115,46.48,21.51
116,45.60,21.93
117,44.84,22.30
118,45.25,22.10
119,45.91,21.78
120,45.19,22.13
121,45.05,22.20
122,46.18,21.66
123,44.22,22.61
124,44.52,22.46
125,44.62,22.41
126,45.50,21.98
127,44.68,22.38
128,44.55,22.44
129,44.27,22.59
130,44.20,22.62
131,44.37,22.54
132,44.22,22.62
133,44.97,22.24
134,44.49,22.47
135,44.86,22.29
