Frame_No,Process_Time_ms,Instant_FPS
0,307.73,3.25
1,93.81,10.66
2,81.54,12.26
3,81.14,12.32
4,80.41,12.44
5,80.33,12.45
6,79.66,12.55
7,79.04,12.65
8,79.98,12.50
9,80.52,12.42
10,79.94,12.51
11,79.45,12.59
12,72.56,13.78
13,78.78,12.69
14,90.90,11.00
15,80.40,12.44
16,81.00,12.35
17,80.59,12.41
18,89.97,11.11
19,80.66,12.40
20,80.42,12.44
21,80.16,12.47
22,90.69,11.03
23,79.73,12.54
24,80.58,12.41
25,80.42,12.44
26,89.58,11.16
27,80.39,12.44
28,80.32,12.45
29,81.27,12.30
30,79.83,12.53
31,80.08,12.49
32,80.28,12.46
33,93.73,10.67
34,81.07,12.33
35,91.12,10.97
36,80.49,12.42
37,80.37,12.44
38,79.70,12.55
39,89.41,11.18
40,80.72,12.39
41,80.44,12.43
42,81.16,12.32
43,90.18,11.09
44,80.89,12.36
45,81.00,12.35
46,80.66,12.40
47,79.93,12.51
48,90.33,11.07
49,80.16,12.48
50,80.49,12.42
51,79.42,12.59
52,87.70,11.40
53,80.34,12.45
54,79.95,12.51
55,79.75,12.54
56,80.44,12.43
57,80.41,12.44
58,80.30,12.45
59,80.57,12.41
60,90.51,11.05
61,81.39,12.29
62,80.87,12.36
63,81.61,12.25
64,76.92,13.00
65,78.78,12.69
66,79.70,12.55
67,89.47,11.18
68,80.83,12.37
69,80.73,12.39
70,80.14,12.48
71,90.10,11.10
72,81.02,12.34
73,80.67,12.40
74,81.34,12.29
75,80.32,12.45
76,80.98,12.35
77,80.76,12.38
78,80.17,12.47
79,90.03,11.11
80,79.82,12.53
81,79.53,12.57
82,90.11,11.10
83,80.11,12.48
84,79.89,12.52
85,80.01,12.50
86,80.17,12.47
87,80.96,12.35
88,79.62,12.56
89,80.71,12.39
90,79.81,12.53
91,80.11,12.48
92,79.80,12.53
93,80.46,12.43
94,88.61,11.28
95,90.07,11.10
96,80.40,12.44
97,80.67,12.40
98,80.09,12.49
99,80.51,12.42
100,79.42,12.59
101,78.63,12.72
102,77.71,12.87
103,79.30,12.61
104,80.06,12.49
105,80.41,12.44
106,81.52,12.27
107,78.51,12.74
108,79.54,12.57
109,80.41,12.44
110,79.09,12.64
111,77.88,12.84
112,78.73,12.70
113,79.29,12.61
114,79.46,12.59
115,79.94,12.51
116,79.65,12.55
117,78.14,12.80
118,77.91,12.84
119,79.55,12.57
120,78.80,12.69
121,80.75,12.38
122,80.68,12.39
123,80.57,12.41
124,80.13,12.48
125,79.84,12.52
126,80.49,12.42
127,80.43,12.43
128,91.53,10.93
129,80.41,12.44
130,88.63,11.28
131,80.83,12.37
132,80.28,12.46
133,80.50,12.42
134,79.52,12.58
135,79.93,12.51
136,79.59,12.56
137,79.33,12.61
138,78.38,12.76
139,78.72,12.70
140,78.31,12.77
141,79.13,12.64
142,80.22,12.47
143,80.40,12.44
144,81.47,12.27
145,89.87,11.13
146,80.09,12.49
147,78.79,12.69
148,79.60,12.56
149,79.13,12.64
150,80.07,12.49
151,79.09,12.64
152,78.95,12.67
153,79.44,12.59
154,86.86,11.51
155,79.44,12.59
156,78.91,12.67
157,80.10,12.49
158,80.52,12.42
159,78.64,12.72
160,78.39,12.76
161,78.76,12.70
162,78.35,12.76
163,79.20,12.63
164,80.51,12.42
165,79.45,12.59
166,79.46,12.58
167,80.23,12.46
168,79.31,12.61
169,80.14,12.48
170,76.95,13.00
171,76.56,13.06
172,79.21,12.62
173,88.83,11.26
174,80.92,12.36
175,79.97,12.50
176,80.32,12.45
177,80.23,12.46
178,80.58,12.41
179,89.52,11.17
180,84.37,11.85
181,79.60,12.56
182,79.92,12.51
183,79.59,12.56
184,80.15,12.48
185,80.30,12.45
186,79.83,12.53
187,80.36,12.44
188,79.54,12.57
189,79.93,12.51
190,80.46,12.43
191,80.24,12.46
192,80.05,12.49
193,79.83,12.53
194,79.66,12.55
195,80.52,12.42
196,89.26,11.20
197,80.57,12.41
198,80.49,12.42
199,80.03,12.49
200,79.86,12.52
201,80.51,12.42
202,79.18,12.63
203,80.17,12.47
204,80.00,12.50
205,90.73,11.02
206,91.36,10.95
207,80.04,12.49
208,80.46,12.43
209,80.74,12.39
210,80.50,12.42
211,80.30,12.45
212,79.84,12.53
213,80.32,12.45
214,78.03,12.82
215,77.42,12.92
216,79.64,12.56
217,79.69,12.55
218,88.47,11.30
219,80.48,12.43
220,80.27,12.46
221,80.69,12.39
222,80.00,12.50
223,80.20,12.47
224,85.78,11.66
225,80.01,12.50
226,80.02,12.50
227,79.77,12.54
228,80.11,12.48
229,79.62,12.56
230,80.31,12.45
231,79.82,12.53
232,79.77,12.54
233,80.13,12.48
234,80.69,12.39
235,91.96,10.87
236,80.65,12.40
237,80.20,12.47
238,79.80,12.53
239,89.46,11.18
240,80.29,12.45
241,80.56,12.41
242,80.14,12.48
243,91.37,10.94
244,80.39,12.44
245,79.82,12.53
246,79.84,12.52
247,90.33,11.07
248,80.44,12.43
249,80.49,12.42
250,80.97,12.35
251,81.55,12.26
252,79.81,12.53
253,79.63,12.56
254,79.59,12.56
255,79.63,12.56
256,78.86,12.68
257,82.12,12.18
258,79.70,12.55
259,79.96,12.51
260,79.74,12.54
261,79.79,12.53
262,80.32,12.45
263,80.49,12.42
264,80.37,12.44
265,79.75,12.54
266,79.45,12.59
267,80.50,12.42
268,77.20,12.95
269,77.82,12.85
270,78.86,12.68
271,90.20,11.09
272,90.41,11.06
273,79.42,12.59
274,80.47,12.43
275,79.86,12.52
276,82.16,12.17
277,76.79,13.02
278,80.22,12.47
279,80.03,12.50
280,79.72,12.54
281,90.01,11.11
282,81.29,12.30
283,80.53,12.42
284,79.63,12.56
285,89.24,11.21
286,79.76,12.54
287,78.87,12.68
288,78.70,12.71
289,79.27,12.62
290,79.26,12.62
291,79.65,12.55
