Frame_No,Process_Time_ms,Instant_FPS
0,162.86,6.14
1,46.28,21.61
2,40.29,24.82
3,42.17,23.71
4,48.01,20.83
5,44.05,22.70
6,41.76,23.94
7,40.51,24.69
8,40.70,24.57
9,39.92,25.05
10,39.52,25.31
11,45.96,21.76
12,48.24,20.73
13,39.51,25.31
14,41.11,24.32
15,38.11,26.24
16,40.32,24.80
17,35.80,27.93
18,38.38,26.06
19,39.79,25.13
20,40.02,24.99
21,39.90,25.06
22,41.25,24.24
23,39.68,25.20
24,43.21,23.14
25,47.26,21.16
26,44.02,22.72
27,40.30,24.81
28,41.09,24.34
29,42.69,23.42
30,49.42,20.23
31,48.24,20.73
32,42.10,23.75
33,42.27,23.66
34,43.68,22.89
35,47.28,21.15
36,42.70,23.42
37,46.16,21.66
38,43.07,23.22
39,40.25,24.84
40,39.45,25.35
41,38.37,26.06
42,38.22,26.16
43,40.90,24.45
44,40.29,24.82
45,40.84,24.49
46,38.81,25.77
47,38.71,25.84
48,41.52,24.09
49,47.18,21.20
50,41.23,24.26
51,67.69,14.77
52,52.14,19.18
53,45.31,22.07
54,41.22,24.26
55,40.69,24.57
56,37.70,26.52
57,37.73,26.50
58,38.93,25.69
59,38.42,26.03
60,39.20,25.51
61,42.26,23.67
62,45.43,22.01
63,49.07,20.38
64,45.06,22.19
65,44.62,22.41
66,40.16,24.90
67,49.75,20.10
68,45.43,22.01
69,48.09,20.79
70,44.96,22.24
71,45.74,21.86
72,41.83,23.91
73,41.48,24.11
74,42.01,23.80
75,44.98,22.23
76,41.54,24.07
77,41.47,24.11
78,37.94,26.36
79,39.12,25.56
80,39.62,25.24
81,38.93,25.68
82,39.92,25.05
83,37.93,26.36
84,38.28,26.12
85,39.73,25.17
86,39.55,25.29
87,43.22,23.14
88,42.51,23.53
89,40.15,24.90
90,39.70,25.19
91,40.07,24.96
92,38.20,26.18
93,40.75,24.54
94,38.68,25.85
95,38.45,26.01
96,41.50,24.10
97,41.16,24.29
98,41.69,23.98
99,39.46,25.34
100,43.65,22.91
101,40.06,24.97
102,50.69,19.73
103,43.74,22.86
104,44.40,22.52
105,36.81,27.17
106,40.83,24.49
107,40.43,24.73
108,39.02,25.63
109,38.74,25.81
110,39.42,25.37
111,42.17,23.71
112,49.19,20.33
113,46.88,21.33
114,46.38,21.56
115,42.29,23.64
116,42.35,23.61
117,43.38,23.05
118,43.14,23.18
119,48.03,20.82
120,45.19,22.13
121,41.76,23.94
122,45.64,21.91
123,44.12,22.67
124,45.79,21.84
125,40.02,24.99
126,38.97,25.66
127,38.37,26.06
128,38.26,26.14
129,37.98,26.33
130,38.06,26.27
131,38.33,26.09
132,38.67,25.86
133,40.32,24.80
134,41.03,24.37
135,38.52,25.96
136,40.77,24.53
137,38.16,26.20
138,39.44,25.36
139,38.96,25.67
140,42.06,23.78
141,40.46,24.72
142,40.98,24.41
143,38.35,26.08
144,39.05,25.61
145,39.77,25.14
146,41.76,23.94
147,39.85,25.09
148,39.64,25.23
149,46.56,21.48
150,41.37,24.17
151,38.35,26.08
152,39.80,25.13
153,47.67,20.98
154,41.77,23.94
155,39.89,25.07
156,38.04,26.29
157,39.49,25.32
158,38.22,26.17
159,38.17,26.20
160,38.40,26.04
161,42.54,23.51
162,49.01,20.40
163,44.80,22.32
164,44.21,22.62
165,40.33,24.80
166,41.34,24.19
167,49.88,20.05
168,46.00,21.74
169,46.43,21.54
170,42.29,23.65
171,46.65,21.44
172,45.32,22.07
173,43.67,22.90
174,47.10,21.23
175,42.63,23.45
176,41.22,24.26
177,39.28,25.46
178,39.86,25.09
179,40.11,24.93
180,38.00,26.31
181,38.89,25.71
182,43.30,23.10
183,41.92,23.85
184,40.11,24.93
185,38.97,25.66
186,38.87,25.73
187,39.19,25.52
188,38.99,25.65
189,40.08,24.95
