Kare_No,Islem_Suresi_ms,Anlik_FPS
0,56.40,17.73
1,53.02,18.86
2,45.32,22.07
3,44.60,22.42
4,45.18,22.14
5,43.82,22.82
6,44.89,22.27
7,45.25,22.10
8,45.74,21.86
9,43.96,22.75
10,45.32,22.07
11,44.29,22.58
12,45.01,22.22
13,45.61,21.93
14,43.63,22.92
15,43.42,23.03
16,44.90,22.27
17,44.93,22.26
18,44.51,22.47
19,45.17,22.14
20,45.25,22.10
21,45.08,22.18
22,44.26,22.59
23,44.48,22.48
24,44.28,22.58
25,44.25,22.60
26,45.03,22.21
27,45.20,22.13
28,44.53,22.46
29,45.00,22.22
30,44.61,22.42
31,44.55,22.45
32,45.42,22.02
33,44.65,22.39
34,45.07,22.19
35,45.02,22.21
36,45.23,22.11
37,44.98,22.23
38,44.91,22.27
39,44.95,22.25
40,44.42,22.51
41,45.25,22.10
42,45.51,21.97
43,44.59,22.43
44,45.04,22.20
45,44.88,22.28
46,45.03,22.21
47,45.03,22.21
48,44.77,22.33
49,44.60,22.42
50,45.36,22.04
51,43.96,22.75
52,44.33,22.56
53,43.94,22.76
54,44.35,22.55
55,44.69,22.38
56,44.76,22.34
57,44.70,22.37
58,44.47,22.49
59,44.93,22.25
60,44.56,22.44
61,45.41,22.02
62,44.78,22.33
63,44.79,22.33
64,44.47,22.49
65,44.78,22.33
66,44.97,22.24
67,44.67,22.39
68,45.72,21.87
69,44.74,22.35
70,45.44,22.01
71,44.39,22.53
72,45.37,22.04
73,43.86,22.80
74,45.37,22.04
75,45.03,22.21
76,45.43,22.01
77,47.00,21.28
78,45.55,21.96
79,45.46,22.00
80,45.19,22.13
81,44.68,22.38
82,44.29,22.58
83,44.51,22.47
84,45.16,22.14
85,45.36,22.04
86,44.97,22.24
87,45.22,22.11
88,45.03,22.21
89,45.37,22.04
90,44.65,22.40
91,47.49,21.06
92,44.86,22.29
93,45.56,21.95
94,45.31,22.07
95,44.74,22.35
96,45.08,22.18
97,45.26,22.10
98,45.32,22.07
99,46.63,21.45
100,41.45,24.13
101,44.21,22.62
102,46.94,21.30
103,44.38,22.53
104,45.05,22.20
105,45.69,21.89
106,45.03,22.21
107,45.07,22.19
108,44.66,22.39
109,44.86,22.29
110,46.67,21.43
111,45.27,22.09
112,44.78,22.33
113,44.83,22.31
114,45.18,22.13
115,45.09,22.18
116,45.25,22.10
117,46.35,21.58
118,44.64,22.40
119,44.96,22.24
120,44.54,22.45
121,45.77,21.85
122,44.85,22.30
123,44.04,22.71
124,45.11,22.17
125,45.24,22.10
126,44.62,22.41
127,44.95,22.25
128,45.04,22.20
129,44.74,22.35
130,44.86,22.29
131,44.77,22.34
132,45.30,22.08
133,45.75,21.86
134,45.19,22.13
135,45.27,22.09
136,45.09,22.18
137,45.09,22.18
138,45.07,22.19
139,45.12,22.16
140,45.04,22.20
141,48.63,20.56
142,45.12,22.16
143,44.59,22.43
144,45.03,22.21
145,44.88,22.28
146,44.85,22.30
147,45.12,22.16
148,44.37,22.54
149,45.27,22.09
150,44.92,22.26
151,44.26,22.59
152,44.73,22.36
153,44.71,22.36
154,44.97,22.24
155,45.16,22.15
156,44.87,22.29
157,45.12,22.16
158,44.56,22.44
159,45.39,22.03
160,45.10,22.17
161,45.14,22.15
