Kare_No,Islem_Suresi_ms,Anlik_FPS
0,39.72,25.18
1,45.46,22.00
2,45.43,22.01
3,40.11,24.93
4,38.29,26.11
5,38.75,25.81
6,39.17,25.53
7,39.46,25.34
8,39.44,25.36
9,39.48,25.33
10,38.87,25.72
11,41.15,24.30
12,40.69,24.58
13,39.56,25.28
14,38.50,25.97
15,40.22,24.87
16,39.30,25.45
17,39.07,25.60
18,39.79,25.13
19,37.11,26.94
20,38.95,25.67
21,39.22,25.50
22,39.21,25.51
23,41.46,24.12
24,41.01,24.39
25,39.72,25.18
26,38.93,25.69
27,38.79,25.78
28,39.04,25.61
29,39.35,25.41
30,39.58,25.27
31,39.17,25.53
32,38.79,25.78
33,39.07,25.59
34,38.76,25.80
35,39.62,25.24
36,39.92,25.05
37,40.27,24.83
38,40.32,24.80
39,39.92,25.05
40,40.58,24.64
41,39.71,25.19
42,38.93,25.69
43,39.36,25.41
44,39.67,25.21
45,39.27,25.46
46,39.53,25.29
47,39.97,25.02
48,39.10,25.58
49,38.57,25.92
50,38.91,25.70
51,38.55,25.94
52,40.13,24.92
53,39.14,25.55
54,38.65,25.87
55,38.53,25.95
56,39.04,25.61
57,39.45,25.35
58,39.80,25.12
59,38.96,25.67
60,39.21,25.50
61,39.76,25.15
62,38.89,25.71
63,40.15,24.91
64,39.83,25.10
65,40.56,24.65
66,39.51,25.31
67,42.86,23.33
68,45.31,22.07
69,42.00,23.81
70,39.13,25.56
71,38.85,25.74
72,39.17,25.53
73,38.70,25.84
74,39.71,25.18
75,39.50,25.32
76,39.31,25.44
77,41.15,24.30
78,40.78,24.52
79,39.86,25.09
80,38.76,25.80
81,39.20,25.51
82,39.28,25.46
83,38.98,25.66
84,39.24,25.49
85,39.04,25.62
86,38.62,25.89
87,39.47,25.33
88,39.22,25.50
89,39.06,25.60
90,39.20,25.51
91,39.20,25.51
92,40.76,24.53
93,42.82,23.35
94,48.46,20.63
95,41.52,24.08
96,39.96,25.02
97,38.50,25.98
98,38.62,25.89
99,38.69,25.84
100,38.54,25.94
101,39.25,25.48
102,39.13,25.56
103,38.76,25.80
104,39.28,25.46
105,38.56,25.93
106,38.55,25.94
107,39.28,25.46
108,38.78,25.79
109,39.47,25.34
110,38.73,25.82
111,38.83,25.75
112,35.79,27.94
113,38.68,25.85
114,38.93,25.69
115,38.66,25.87
116,38.96,25.67
117,38.61,25.90
118,39.30,25.44
119,39.38,25.40
120,38.88,25.72
121,41.83,23.90
122,42.56,23.50
123,44.99,22.23
124,41.10,24.33
125,39.01,25.64
126,40.18,24.89
127,40.33,24.79
128,38.86,25.73
129,38.78,25.79
130,39.44,25.36
131,38.77,25.79
132,40.47,24.71
133,39.97,25.02
134,38.95,25.68
135,39.42,25.36
136,39.69,25.20
137,39.32,25.43
138,39.22,25.50
139,39.71,25.18
140,39.00,25.64
141,39.26,25.47
142,39.72,25.17
143,39.91,25.06
144,38.86,25.73
145,39.57,25.27
146,39.32,25.43
147,39.20,25.51
148,39.36,25.41
149,38.94,25.68
150,38.28,26.12
151,39.38,25.40
152,38.74,25.81
153,41.04,24.37
154,41.71,23.98
155,39.82,25.11
156,39.06,25.60
157,38.74,25.81
158,39.26,25.47
159,39.23,25.49
160,39.56,25.28
161,39.72,25.17
162,41.01,24.38
163,40.22,24.86
164,42.18,23.71
165,46.02,21.73
166,42.61,23.47
167,40.45,24.72
168,39.13,25.55
169,38.44,26.01
170,38.71,25.83
171,38.39,26.05
172,38.94,25.68
173,40.32,24.80
174,39.67,25.21
175,42.10,23.75
176,46.29,21.60
177,40.68,24.59
178,39.01,25.63
179,39.04,25.61
180,40.18,24.89
181,38.89,25.72
182,39.73,25.17
183,39.90,25.06
184,39.25,25.48
185,38.91,25.70
186,39.29,25.45
187,39.17,25.53
188,39.96,25.02
189,40.08,24.95
190,39.49,25.32
191,39.53,25.29
192,38.89,25.71
193,39.06,25.60
194,38.58,25.92
195,39.30,25.45
196,38.74,25.81
197,39.01,25.63
