Kare_No,Islem_Suresi_ms,Anlik_FPS
0,90.19,11.09
1,95.05,10.52
2,79.73,12.54
3,82.27,12.16
4,81.84,12.22
5,81.56,12.26
6,80.65,12.40
7,91.28,10.96
8,91.44,10.94
9,83.26,12.01
10,86.20,11.60
11,79.62,12.56
12,80.24,12.46
13,80.89,12.36
14,80.32,12.45
15,89.87,11.13
16,91.24,10.96
17,91.74,10.90
18,90.11,11.10
19,90.12,11.10
20,90.47,11.05
21,91.56,10.92
22,87.75,11.40
23,78.14,12.80
24,76.91,13.00
25,79.95,12.51
26,80.11,12.48
27,80.56,12.41
28,77.81,12.85
29,76.82,13.02
30,77.04,12.98
31,77.15,12.96
32,78.15,12.80
33,77.57,12.89
34,79.98,12.50
35,90.94,11.00
36,91.15,10.97
37,92.14,10.85
38,85.13,11.75
39,77.48,12.91
40,77.54,12.90
41,77.97,12.83
42,82.66,12.10
43,79.20,12.63
44,91.04,10.98
45,90.04,11.11
46,87.42,11.44
47,80.28,12.46
48,79.94,12.51
49,80.51,12.42
50,80.46,12.43
51,89.79,11.14
52,77.51,12.90
53,78.17,12.79
54,78.37,12.76
55,77.39,12.92
56,76.70,13.04
57,81.89,12.21
58,79.63,12.56
59,80.47,12.43
60,80.22,12.47
61,82.37,12.14
62,75.42,13.26
63,76.86,13.01
64,78.37,12.76
65,78.53,12.73
66,79.57,12.57
67,88.11,11.35
68,78.79,12.69
69,77.84,12.85
70,79.86,12.52
71,91.12,10.97
72,90.81,11.01
73,90.68,11.03
74,91.11,10.98
75,91.77,10.90
76,91.55,10.92
77,89.82,11.13
78,91.03,10.99
79,92.15,10.85
80,92.01,10.87
81,90.42,11.06
82,91.27,10.96
83,90.17,11.09
84,90.58,11.04
85,89.90,11.12
86,90.63,11.03
87,90.92,11.00
88,91.73,10.90
89,91.00,10.99
90,91.79,10.89
91,86.94,11.50
92,82.45,12.13
93,79.05,12.65
94,78.26,12.78
95,78.97,12.66
96,80.00,12.50
97,80.89,12.36
98,80.21,12.47
99,87.49,11.43
100,78.96,12.67
101,81.61,12.25
102,79.59,12.56
103,88.89,11.25
104,80.06,12.49
105,80.45,12.43
106,90.09,11.10
107,80.25,12.46
108,79.78,12.53
109,80.31,12.45
110,80.49,12.42
111,80.86,12.37
112,81.40,12.29
113,84.89,11.78
114,93.89,10.65
115,88.97,11.24
116,86.49,11.56
117,80.78,12.38
118,81.33,12.30
119,80.43,12.43
120,81.91,12.21
121,93.65,10.68
122,90.16,11.09
123,87.66,11.41
124,87.29,11.46
125,80.45,12.43
126,80.13,12.48
127,90.64,11.03
128,82.10,12.18
129,81.08,12.33
130,80.35,12.44
131,88.91,11.25
132,77.93,12.83
133,76.46,13.08
134,81.35,12.29
135,79.42,12.59
136,79.52,12.57
137,80.12,12.48
138,79.99,12.50
139,89.87,11.13
140,80.39,12.44
141,82.67,12.10
142,80.99,12.35
143,80.30,12.45
144,90.86,11.01
145,91.81,10.89
146,80.78,12.38
147,80.38,12.44
148,80.24,12.46
149,79.92,12.51
150,80.25,12.46
151,79.61,12.56
152,79.92,12.51
153,81.18,12.32
154,80.05,12.49
155,89.79,11.14
156,77.40,12.92
157,78.75,12.70
158,78.61,12.72
159,79.96,12.51
160,80.55,12.41
161,80.81,12.37
162,80.93,12.36
163,80.76,12.38
164,81.07,12.34
165,73.69,13.57
166,81.44,12.28
167,91.80,10.89
168,80.71,12.39
169,80.85,12.37
170,81.27,12.30
171,80.71,12.39
172,94.38,10.60
173,80.49,12.42
174,80.16,12.47
175,90.67,11.03
176,90.58,11.04
177,80.25,12.46
178,80.45,12.43
179,78.01,12.82
180,78.09,12.81
181,78.01,12.82
182,78.45,12.75
183,78.33,12.77
184,77.83,12.85
185,78.64,12.72
186,79.22,12.62
187,79.10,12.64
188,79.77,12.54
189,79.21,12.63
190,79.88,12.52
191,80.11,12.48
192,80.78,12.38
193,91.26,10.96
194,93.16,10.73
195,82.42,12.13
196,87.80,11.39
197,78.90,12.67
198,82.52,12.12
199,79.79,12.53
200,90.58,11.04
201,79.97,12.50
202,78.68,12.71
203,79.11,12.64
204,80.23,12.46
205,79.43,12.59
206,113.12,8.84
207,87.28,11.46
208,82.59,12.11
209,75.24,13.29
210,78.93,12.67
211,79.60,12.56
212,79.13,12.64
213,81.12,12.33
214,79.76,12.54
215,79.04,12.65
216,80.15,12.48
217,79.95,12.51
218,78.30,12.77
219,79.23,12.62
220,79.83,12.53
221,81.42,12.28
222,83.07,12.04
223,80.21,12.47
224,78.19,12.79
225,79.71,12.55
226,79.49,12.58
227,89.88,11.13
228,79.83,12.53
229,80.35,12.45
230,89.55,11.17
231,79.06,12.65
232,80.84,12.37
233,80.68,12.40
234,79.05,12.65
235,80.31,12.45
236,79.67,12.55
237,80.21,12.47
238,79.85,12.52
239,90.17,11.09
240,80.89,12.36
241,76.79,13.02
242,79.84,12.53
243,78.71,12.70
244,78.73,12.70
245,77.86,12.84
246,79.90,12.52
247,79.96,12.51
248,79.99,12.50
249,79.91,12.51
250,80.16,12.47
251,79.80,12.53
252,75.88,13.18
253,79.59,12.57
254,80.52,12.42
255,80.18,12.47
256,77.85,12.84
257,82.90,12.06
258,79.81,12.53
259,80.61,12.41
260,79.00,12.66
261,80.26,12.46
262,80.63,12.40
263,77.59,12.89
264,79.54,12.57
265,78.58,12.73
266,80.19,12.47
267,79.77,12.54
268,79.52,12.58
269,79.48,12.58
270,83.93,11.91
271,90.11,11.10
272,80.57,12.41
273,81.44,12.28
274,80.62,12.40
275,88.62,11.28
276,82.81,12.08
277,80.04,12.49
278,79.14,12.64
279,88.28,11.33
280,80.39,12.44
281,77.77,12.86
282,78.54,12.73
283,78.12,12.80
284,79.69,12.55
285,76.37,13.09
286,79.06,12.65
287,78.88,12.68
288,79.29,12.61
289,78.63,12.72
290,81.39,12.29
291,90.89,11.00
---,---,---
ORTALAMA_FPS,,12.16
