Kare,Tip,PSNR,Bandwidth
0,SUNUCU_KARE,inf,DOWNLOADED
1,SUNUCU_KARE,inf,DOWNLOADED
2,SUNUCU_KARE,inf,DOWNLOADED
3,SUNUCU_KARE,inf,DOWNLOADED
4,SUNUCU_KARE,inf,DOWNLOADED
5,SUNUCU_KARE,inf,DOWNLOADED
6,SUNUCU_KARE,inf,DOWNLOADED
7,SUNUCU_KARE,inf,DOWNLOADED
8,SUNUCU_KARE,inf,DOWNLOADED
9,SUNUCU_KARE,inf,DOWNLOADED
10,SUNUCU_KARE,inf,DOWNLOADED
11,SUNUCU_KARE,inf,DOWNLOADED
12,SUNUCU_KARE,inf,DOWNLOADED
13,SUNUCU_KARE,inf,DOWNLOADED
14,SUNUCU_KARE,inf,DOWNLOADED
15,SUNUCU_KARE,inf,DOWNLOADED
16,SUNUCU_KARE,inf,DOWNLOADED
17,SUNUCU_KARE,inf,DOWNLOADED
18,SUNUCU_KARE,inf,DOWNLOADED
19,SUNUCU_KARE,inf,DOWNLOADED
20,SUNUCU_KARE,inf,DOWNLOADED
21,SUNUCU_KARE,inf,DOWNLOADED
22,SUNUCU_KARE,inf,DOWNLOADED
23,SUNUCU_KARE,inf,DOWNLOADED
24,SUNUCU_KARE,inf,DOWNLOADED
25,SUNUCU_KARE,inf,DOWNLOADED
26,SUNUCU_KARE,inf,DOWNLOADED
27,SUNUCU_KARE,inf,DOWNLOADED
28,SUNUCU_KARE,inf,DOWNLOADED
29,SUNUCU_KARE,inf,DOWNLOADED
30,SUNUCU_KARE,inf,DOWNLOADED
31,SUNUCU_KARE,inf,DOWNLOADED
32,SUNUCU_KARE,inf,DOWNLOADED
33,SUNUCU_KARE,inf,DOWNLOADED
34,SUNUCU_KARE,inf,DOWNLOADED
35,SUNUCU_KARE,inf,DOWNLOADED
36,SUNUCU_KARE,inf,DOWNLOADED
37,SUNUCU_KARE,inf,DOWNLOADED
38,SUNUCU_KARE,inf,DOWNLOADED
39,SUNUCU_KARE,inf,DOWNLOADED
40,SUNUCU_KARE,inf,DOWNLOADED
41,SUNUCU_KARE,inf,DOWNLOADED
42,SUNUCU_KARE,inf,DOWNLOADED
43,SUNUCU_KARE,inf,DOWNLOADED
44,SUNUCU_KARE,inf,DOWNLOADED
45,SUNUCU_KARE,inf,DOWNLOADED
46,SUNUCU_KARE,inf,DOWNLOADED
47,SUNUCU_KARE,inf,DOWNLOADED
48,SUNUCU_KARE,inf,DOWNLOADED
49,SUNUCU_KARE,inf,DOWNLOADED
50,SUNUCU_KARE,inf,DOWNLOADED
51,SUNUCU_KARE,inf,DOWNLOADED
52,SUNUCU_KARE,inf,DOWNLOADED
53,SUNUCU_KARE,inf,DOWNLOADED
54,SUNUCU_KARE,inf,DOWNLOADED
55,SUNUCU_KARE,inf,DOWNLOADED
56,SUNUCU_KARE,inf,DOWNLOADED
57,SUNUCU_KARE,inf,DOWNLOADED
58,SUNUCU_KARE,inf,DOWNLOADED
59,SUNUCU_KARE,inf,DOWNLOADED
60,SUNUCU_KARE,inf,DOWNLOADED
61,SUNUCU_KARE,inf,DOWNLOADED
62,SUNUCU_KARE,inf,DOWNLOADED
63,SUNUCU_KARE,inf,DOWNLOADED
64,SUNUCU_KARE,inf,DOWNLOADED
65,SUNUCU_KARE,inf,DOWNLOADED
66,SUNUCU_KARE,inf,DOWNLOADED
67,SUNUCU_KARE,inf,DOWNLOADED
68,SUNUCU_KARE,inf,DOWNLOADED
69,SUNUCU_KARE,inf,DOWNLOADED
70,SUNUCU_KARE,inf,DOWNLOADED
71,SUNUCU_KARE,inf,DOWNLOADED
72,SUNUCU_KARE,inf,DOWNLOADED
73,SUNUCU_KARE,inf,DOWNLOADED
74,SUNUCU_KARE,inf,DOWNLOADED
75,SUNUCU_KARE,inf,DOWNLOADED
76,SUNUCU_KARE,inf,DOWNLOADED
77,SUNUCU_KARE,inf,DOWNLOADED
78,SUNUCU_KARE,inf,DOWNLOADED
79,SUNUCU_KARE,inf,DOWNLOADED
80,SUNUCU_KARE,inf,DOWNLOADED
81,SUNUCU_KARE,inf,DOWNLOADED
82,SUNUCU_KARE,inf,DOWNLOADED
83,SUNUCU_KARE,inf,DOWNLOADED
84,SUNUCU_KARE,inf,DOWNLOADED
85,SUNUCU_KARE,inf,DOWNLOADED
86,SUNUCU_KARE,inf,DOWNLOADED
87,SUNUCU_KARE,inf,DOWNLOADED
88,SUNUCU_KARE,inf,DOWNLOADED
89,SUNUCU_KARE,inf,DOWNLOADED
90,SUNUCU_KARE,inf,DOWNLOADED
91,SUNUCU_KARE,inf,DOWNLOADED
92,SUNUCU_KARE,inf,DOWNLOADED
93,SUNUCU_KARE,inf,DOWNLOADED
94,SUNUCU_KARE,inf,DOWNLOADED
95,SUNUCU_KARE,inf,DOWNLOADED
96,SUNUCU_KARE,inf,DOWNLOADED
97,SUNUCU_KARE,inf,DOWNLOADED
98,SUNUCU_KARE,inf,DOWNLOADED
99,SUNUCU_KARE,inf,DOWNLOADED
100,SUNUCU_KARE,inf,DOWNLOADED
101,SUNUCU_KARE,inf,DOWNLOADED
102,SUNUCU_KARE,inf,DOWNLOADED
103,SUNUCU_KARE,inf,DOWNLOADED
104,SUNUCU_KARE,inf,DOWNLOADED
105,SUNUCU_KARE,inf,DOWNLOADED
106,SUNUCU_KARE,inf,DOWNLOADED
107,SUNUCU_KARE,inf,DOWNLOADED
108,SUNUCU_KARE,inf,DOWNLOADED
109,SUNUCU_KARE,inf,DOWNLOADED
110,SUNUCU_KARE,inf,DOWNLOADED
111,SUNUCU_KARE,inf,DOWNLOADED
112,SUNUCU_KARE,inf,DOWNLOADED
113,SUNUCU_KARE,inf,DOWNLOADED
114,SUNUCU_KARE,inf,DOWNLOADED
115,SUNUCU_KARE,inf,DOWNLOADED
116,SUNUCU_KARE,inf,DOWNLOADED
117,SUNUCU_KARE,inf,DOWNLOADED
118,SUNUCU_KARE,inf,DOWNLOADED
119,SUNUCU_KARE,inf,DOWNLOADED
120,SUNUCU_KARE,inf,DOWNLOADED
121,SUNUCU_KARE,inf,DOWNLOADED
122,SUNUCU_KARE,inf,DOWNLOADED
123,SUNUCU_KARE,inf,DOWNLOADED
124,SUNUCU_KARE,inf,DOWNLOADED
125,SUNUCU_KARE,inf,DOWNLOADED
126,SUNUCU_KARE,inf,DOWNLOADED
127,SUNUCU_KARE,inf,DOWNLOADED
128,SUNUCU_KARE,inf,DOWNLOADED
129,SUNUCU_KARE,inf,DOWNLOADED
130,SUNUCU_KARE,inf,DOWNLOADED
131,SUNUCU_KARE,inf,DOWNLOADED
132,SUNUCU_KARE,inf,DOWNLOADED
133,SUNUCU_KARE,inf,DOWNLOADED
134,AI_SENTEZ,36.89,SAVED
135,AI_SENTEZ,33.29,SAVED
136,AI_SENTEZ,32.60,SAVED
137,SUNUCU_KARE,inf,DOWNLOADED
138,AI_SENTEZ,36.76,SAVED
139,SUNUCU_KARE,inf,DOWNLOADED
140,AI_SENTEZ,36.18,SAVED
141,SUNUCU_KARE,inf,DOWNLOADED
142,AI_SENTEZ,38.24,SAVED
143,SUNUCU_KARE,inf,DOWNLOADED
144,AI_SENTEZ,37.88,SAVED
145,SUNUCU_KARE,inf,DOWNLOADED
146,AI_SENTEZ,37.98,SAVED
147,SUNUCU_KARE,inf,DOWNLOADED
148,AI_SENTEZ,36.04,SAVED
149,SUNUCU_KARE,inf,DOWNLOADED
150,AI_SENTEZ,34.75,SAVED
151,SUNUCU_KARE,inf,DOWNLOADED
152,AI_SENTEZ,38.04,SAVED
153,SUNUCU_KARE,inf,DOWNLOADED
154,SUNUCU_KARE,inf,DOWNLOADED
155,SUNUCU_KARE,inf,DOWNLOADED
156,AI_SENTEZ,38.74,SAVED
157,SUNUCU_KARE,inf,DOWNLOADED
158,AI_SENTEZ,33.71,SAVED
159,AI_SENTEZ,32.60,SAVED
160,AI_SENTEZ,31.36,SAVED
161,SUNUCU_KARE,inf,DOWNLOADED
162,AI_SENTEZ,36.29,SAVED
163,AI_SENTEZ,32.69,SAVED
164,AI_SENTEZ,31.90,SAVED
165,SUNUCU_KARE,inf,DOWNLOADED
166,AI_SENTEZ,38.15,SAVED
167,SUNUCU_KARE,inf,DOWNLOADED
168,AI_SENTEZ,35.59,SAVED
169,SUNUCU_KARE,inf,DOWNLOADED
170,AI_SENTEZ,33.91,SAVED
171,AI_SENTEZ,32.63,SAVED
172,AI_SENTEZ,31.79,SAVED
173,SUNUCU_KARE,inf,DOWNLOADED
174,AI_SENTEZ,36.01,SAVED
175,AI_SENTEZ,31.90,SAVED
