Kare_No,Eylem,PSNR_dB,SSIM,Tasarruf_Durumu
0,ORIJINAL,inf,1.0000,GÖNDERİLDİ
1,ORIJINAL,inf,1.0000,GÖNDERİLDİ
2,ORIJINAL,inf,1.0000,GÖNDERİLDİ
3,ORIJINAL,inf,1.0000,GÖNDERİLDİ
4,ORIJINAL,inf,1.0000,GÖNDERİLDİ
5,ORIJINAL,inf,1.0000,GÖNDERİLDİ
6,ORIJINAL,inf,1.0000,GÖNDERİLDİ
7,ORIJINAL,inf,1.0000,GÖNDERİLDİ
8,ORIJINAL,inf,1.0000,GÖNDERİLDİ
9,ORIJINAL,inf,1.0000,GÖNDERİLDİ
10,ORIJINAL,inf,1.0000,GÖNDERİLDİ
11,ORIJINAL,inf,1.0000,GÖNDERİLDİ
12,ORIJINAL,inf,1.0000,GÖNDERİLDİ
13,ORIJINAL,inf,1.0000,GÖNDERİLDİ
14,ORIJINAL,inf,1.0000,GÖNDERİLDİ
15,ORIJINAL,inf,1.0000,GÖNDERİLDİ
16,ORIJINAL,inf,1.0000,GÖNDERİLDİ
17,ORIJINAL,inf,1.0000,GÖNDERİLDİ
18,ORIJINAL,inf,1.0000,GÖNDERİLDİ
19,ORIJINAL,inf,1.0000,GÖNDERİLDİ
20,ORIJINAL,inf,1.0000,GÖNDERİLDİ
21,ORIJINAL,inf,1.0000,GÖNDERİLDİ
22,ORIJINAL,inf,1.0000,GÖNDERİLDİ
23,ORIJINAL,inf,1.0000,GÖNDERİLDİ
24,ORIJINAL,inf,1.0000,GÖNDERİLDİ
25,ORIJINAL,inf,1.0000,GÖNDERİLDİ
26,ORIJINAL,inf,1.0000,GÖNDERİLDİ
27,ORIJINAL,inf,1.0000,GÖNDERİLDİ
28,ORIJINAL,inf,1.0000,GÖNDERİLDİ
29,ORIJINAL,inf,1.0000,GÖNDERİLDİ
30,ORIJINAL,inf,1.0000,GÖNDERİLDİ
31,ORIJINAL,inf,1.0000,GÖNDERİLDİ
32,ORIJINAL,inf,1.0000,GÖNDERİLDİ
33,ORIJINAL,inf,1.0000,GÖNDERİLDİ
34,ORIJINAL,inf,1.0000,GÖNDERİLDİ
35,ORIJINAL,inf,1.0000,GÖNDERİLDİ
36,ORIJINAL,inf,1.0000,GÖNDERİLDİ
37,ORIJINAL,inf,1.0000,GÖNDERİLDİ
38,ORIJINAL,inf,1.0000,GÖNDERİLDİ
39,ORIJINAL,inf,1.0000,GÖNDERİLDİ
40,ORIJINAL,inf,1.0000,GÖNDERİLDİ
41,ORIJINAL,inf,1.0000,GÖNDERİLDİ
42,ORIJINAL,inf,1.0000,GÖNDERİLDİ
43,ORIJINAL,inf,1.0000,GÖNDERİLDİ
44,ORIJINAL,inf,1.0000,GÖNDERİLDİ
45,ORIJINAL,inf,1.0000,GÖNDERİLDİ
46,ORIJINAL,inf,1.0000,GÖNDERİLDİ
47,ORIJINAL,inf,1.0000,GÖNDERİLDİ
48,ORIJINAL,inf,1.0000,GÖNDERİLDİ
49,ORIJINAL,inf,1.0000,GÖNDERİLDİ
50,ORIJINAL,inf,1.0000,GÖNDERİLDİ
51,ORIJINAL,inf,1.0000,GÖNDERİLDİ
52,ORIJINAL,inf,1.0000,GÖNDERİLDİ
53,ORIJINAL,inf,1.0000,GÖNDERİLDİ
54,ORIJINAL,inf,1.0000,GÖNDERİLDİ
55,ORIJINAL,inf,1.0000,GÖNDERİLDİ
56,ORIJINAL,inf,1.0000,GÖNDERİLDİ
57,ORIJINAL,inf,1.0000,GÖNDERİLDİ
58,ORIJINAL,inf,1.0000,GÖNDERİLDİ
59,ORIJINAL,inf,1.0000,GÖNDERİLDİ
60,ORIJINAL,inf,1.0000,GÖNDERİLDİ
61,ORIJINAL,inf,1.0000,GÖNDERİLDİ
62,ORIJINAL,inf,1.0000,GÖNDERİLDİ
63,ORIJINAL,inf,1.0000,GÖNDERİLDİ
64,ORIJINAL,inf,1.0000,GÖNDERİLDİ
65,ORIJINAL,inf,1.0000,GÖNDERİLDİ
66,ORIJINAL,inf,1.0000,GÖNDERİLDİ
67,ORIJINAL,inf,1.0000,GÖNDERİLDİ
68,ORIJINAL,inf,1.0000,GÖNDERİLDİ
69,ORIJINAL,inf,1.0000,GÖNDERİLDİ
70,ORIJINAL,inf,1.0000,GÖNDERİLDİ
71,ORIJINAL,inf,1.0000,GÖNDERİLDİ
72,ORIJINAL,inf,1.0000,GÖNDERİLDİ
73,ORIJINAL,inf,1.0000,GÖNDERİLDİ
74,ORIJINAL,inf,1.0000,GÖNDERİLDİ
75,ORIJINAL,inf,1.0000,GÖNDERİLDİ
76,ORIJINAL,inf,1.0000,GÖNDERİLDİ
