Timestamp,Gercek_FPS,Kuyruk_Dolulugu,Durum
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,0.00,0,DARBOGAZ (DONMA)
10:11:1,1.18,0,OYNATILIYOR
10:11:1,21.00,6,OYNATILIYOR
10:11:1,20.96,5,OYNATILIYOR
10:11:1,20.90,4,OYNATILIYOR
10:11:1,20.86,3,OYNATILIYOR
10:11:1,21.05,10,OYNATILIYOR
10:11:1,14.69,9,OYNATILIYOR
10:11:1,21.10,8,OYNATILIYOR
10:11:1,20.85,7,OYNATILIYOR
10:11:1,21.09,6,OYNATILIYOR
10:11:1,20.75,13,OYNATILIYOR
10:11:2,20.79,12,OYNATILIYOR
10:11:2,21.23,15,OYNATILIYOR
10:11:2,21.21,14,OYNATILIYOR
10:11:2,21.15,15,OYNATILIYOR
10:11:2,21.00,18,OYNATILIYOR
10:11:2,21.31,17,OYNATILIYOR
10:11:2,21.07,42,OYNATILIYOR
10:11:2,21.11,67,OYNATILIYOR
10:11:2,21.07,76,OYNATILIYOR
10:11:2,21.19,77,OYNATILIYOR
10:11:2,21.09,76,OYNATILIYOR
10:11:2,20.85,77,OYNATILIYOR
10:11:2,21.20,78,OYNATILIYOR
10:11:2,21.01,77,OYNATILIYOR
10:11:2,21.04,82,OYNATILIYOR
10:11:2,21.02,83,OYNATILIYOR
10:11:2,21.24,84,OYNATILIYOR
10:11:2,21.03,88,OYNATILIYOR
10:11:2,21.12,89,OYNATILIYOR
10:11:2,20.75,88,OYNATILIYOR
10:11:2,20.37,89,OYNATILIYOR
10:11:2,21.03,90,OYNATILIYOR
10:11:2,20.87,91,OYNATILIYOR
10:11:2,21.00,90,OYNATILIYOR
10:11:2,21.39,91,OYNATILIYOR
10:11:2,21.19,92,OYNATILIYOR
10:11:2,20.81,91,OYNATILIYOR
10:11:2,20.94,93,OYNATILIYOR
10:11:2,21.02,94,OYNATILIYOR
10:11:2,21.18,93,OYNATILIYOR
10:11:2,20.72,96,OYNATILIYOR
10:11:2,21.18,102,OYNATILIYOR
10:11:2,21.00,101,OYNATILIYOR
10:11:2,20.91,106,OYNATILIYOR
10:11:2,21.12,109,OYNATILIYOR
10:11:2,21.21,108,OYNATILIYOR
10:11:2,21.07,109,OYNATILIYOR
10:11:2,21.16,110,OYNATILIYOR
10:11:2,21.20,109,OYNATILIYOR
10:11:2,21.16,108,OYNATILIYOR
10:11:2,21.13,107,OYNATILIYOR
10:11:2,21.17,106,OYNATILIYOR
10:11:2,21.28,105,OYNATILIYOR
10:11:2,21.25,106,OYNATILIYOR
10:11:2,21.18,107,OYNATILIYOR
10:11:2,21.11,106,OYNATILIYOR
10:11:2,20.96,109,OYNATILIYOR
10:11:2,21.18,115,OYNATILIYOR
10:11:2,21.10,114,OYNATILIYOR
10:11:2,21.04,132,OYNATILIYOR
