Kare_No,Tip,Islem_Suresi_ms,FPS
0,SUNUCU_KARE,0.00,1000.0
1,SUNUCU_KARE,0.00,1000.0
2,SUNUCU_KARE,0.00,1000.0
3,SUNUCU_KARE,0.00,1000.0
4,SUNUCU_KARE,0.00,1000.0
5,SUNUCU_KARE,0.00,1000.0
6,SUNUCU_KARE,0.00,1000.0
7,SUNUCU_KARE,0.00,1000.0
8,SUNUCU_KARE,0.01,1000.0
9,SUNUCU_KARE,0.00,1000.0
10,SUNUCU_KARE,0.00,1000.0
11,SUNUCU_KARE,0.01,1000.0
12,SUNUCU_KARE,0.01,1000.0
13,SUNUCU_KARE,0.00,1000.0
14,SUNUCU_KARE,0.00,1000.0
15,SUNUCU_KARE,0.00,1000.0
16,SUNUCU_KARE,0.01,1000.0
17,SUNUCU_KARE,0.01,1000.0
18,SUNUCU_KARE,0.01,1000.0
19,SUNUCU_KARE,0.01,1000.0
20,SUNUCU_KARE,0.00,1000.0
21,SUNUCU_KARE,0.01,1000.0
22,SUNUCU_KARE,0.01,1000.0
23,SUNUCU_KARE,0.01,1000.0
24,SUNUCU_KARE,0.01,1000.0
25,SUNUCU_KARE,0.01,1000.0
26,SUNUCU_KARE,0.01,1000.0
27,SUNUCU_KARE,0.01,1000.0
28,SUNUCU_KARE,0.01,1000.0
29,SUNUCU_KARE,0.01,1000.0
30,SUNUCU_KARE,0.01,1000.0
31,SUNUCU_KARE,0.01,1000.0
32,SUNUCU_KARE,0.01,1000.0
33,SUNUCU_KARE,0.01,1000.0
34,SUNUCU_KARE,0.01,1000.0
35,SUNUCU_KARE,0.01,1000.0
36,SUNUCU_KARE,0.01,1000.0
37,SUNUCU_KARE,0.01,1000.0
38,SUNUCU_KARE,0.01,1000.0
39,SUNUCU_KARE,0.01,1000.0
40,SUNUCU_KARE,0.01,1000.0
41,SUNUCU_KARE,0.01,1000.0
42,SUNUCU_KARE,0.01,1000.0
43,SUNUCU_KARE,0.01,1000.0
44,SUNUCU_KARE,0.01,1000.0
45,SUNUCU_KARE,0.01,1000.0
46,SUNUCU_KARE,0.01,1000.0
47,SUNUCU_KARE,0.01,1000.0
48,SUNUCU_KARE,0.01,1000.0
49,SUNUCU_KARE,0.01,1000.0
50,SUNUCU_KARE,0.01,1000.0
51,SUNUCU_KARE,0.01,1000.0
52,SUNUCU_KARE,0.01,1000.0
53,SUNUCU_KARE,0.01,1000.0
54,SUNUCU_KARE,0.01,1000.0
55,SUNUCU_KARE,0.01,1000.0
56,SUNUCU_KARE,0.01,1000.0
57,SUNUCU_KARE,0.01,1000.0
58,SUNUCU_KARE,0.01,1000.0
59,SUNUCU_KARE,0.01,1000.0
60,SUNUCU_KARE,0.00,1000.0
61,SUNUCU_KARE,0.01,1000.0
62,SUNUCU_KARE,0.01,1000.0
63,SUNUCU_KARE,0.01,1000.0
64,SUNUCU_KARE,0.01,1000.0
65,SUNUCU_KARE,0.01,1000.0
66,SUNUCU_KARE,0.01,1000.0
67,SUNUCU_KARE,0.01,1000.0
68,SUNUCU_KARE,0.01,1000.0
69,SUNUCU_KARE,0.01,1000.0
70,SUNUCU_KARE,0.01,1000.0
71,SUNUCU_KARE,0.01,1000.0
72,SUNUCU_KARE,0.01,1000.0
73,SUNUCU_KARE,0.01,1000.0
74,SUNUCU_KARE,0.01,1000.0
75,SUNUCU_KARE,0.01,1000.0
76,SUNUCU_KARE,0.01,1000.0
77,SUNUCU_KARE,0.01,1000.0
78,SUNUCU_KARE,0.01,1000.0
79,SUNUCU_KARE,0.01,1000.0
80,SUNUCU_KARE,0.01,1000.0
81,SUNUCU_KARE,0.01,1000.0
82,SUNUCU_KARE,0.01,1000.0
83,SUNUCU_KARE,0.01,1000.0
84,SUNUCU_KARE,0.01,1000.0
85,SUNUCU_KARE,0.01,1000.0
86,SUNUCU_KARE,0.01,1000.0
87,SUNUCU_KARE,0.01,1000.0
88,SUNUCU_KARE,0.01,1000.0
89,SUNUCU_KARE,0.01,1000.0
90,SUNUCU_KARE,0.01,1000.0
91,SUNUCU_KARE,0.01,1000.0
92,SUNUCU_KARE,0.01,1000.0
93,SUNUCU_KARE,0.01,1000.0
94,SUNUCU_KARE,0.01,1000.0
95,SUNUCU_KARE,0.01,1000.0
96,SUNUCU_KARE,0.01,1000.0
97,SUNUCU_KARE,0.01,1000.0
98,SUNUCU_KARE,0.01,1000.0
99,SUNUCU_KARE,0.01,1000.0
100,SUNUCU_KARE,0.01,1000.0
101,SUNUCU_KARE,0.01,1000.0
102,SUNUCU_KARE,0.01,1000.0
103,SUNUCU_KARE,0.01,1000.0
104,SUNUCU_KARE,0.01,1000.0
105,SUNUCU_KARE,0.01,1000.0
106,SUNUCU_KARE,0.01,1000.0
107,SUNUCU_KARE,0.01,1000.0
108,SUNUCU_KARE,0.01,1000.0
109,SUNUCU_KARE,0.01,1000.0
