Video,Model,Aktarim_Modu,Frame_ID,Decode_Zamani_ms,Stabil_FPS
12331098_1080_1920_25fps,V5_Standart,ZLIB,0,56.93,17.57
12331098_1080_1920_25fps,V5_Standart,ZLIB,1,44.94,19.63
12331098_1080_1920_25fps,V5_Standart,ZLIB,2,35.41,21.85
12331098_1080_1920_25fps,V5_Standart,ZLIB,3,34.91,23.23
12331098_1080_1920_25fps,V5_Standart,ZLIB,4,35.1,24.12
12331098_1080_1920_25fps,V5_Standart,ZLIB,5,34.87,24.78
12331098_1080_1920_25fps,V5_Standart,ZLIB,6,34.57,25.3
12331098_1080_1920_25fps,V5_Standart,ZLIB,7,34.78,25.68
12331098_1080_1920_25fps,V5_Standart,ZLIB,8,34.88,25.98
12331098_1080_1920_25fps,V5_Standart,ZLIB,9,34.29,26.27
12331098_1080_1920_25fps,V5_Standart,ZLIB,10,33.94,26.53
12331098_1080_1920_25fps,V5_Standart,ZLIB,11,34.12,26.74
12331098_1080_1920_25fps,V5_Standart,ZLIB,12,35.03,26.87
12331098_1080_1920_25fps,V5_Standart,ZLIB,13,34.19,27.03
12331098_1080_1920_25fps,V5_Standart,ZLIB,14,34.15,27.17
12331098_1080_1920_25fps,V5_Standart,ZLIB,15,33.98,27.3
12331098_1080_1920_25fps,V5_Standart,ZLIB,16,34.14,27.41
12331098_1080_1920_25fps,V5_Standart,ZLIB,17,34.25,27.5
12331098_1080_1920_25fps,V5_Standart,ZLIB,18,34.14,27.59
12331098_1080_1920_25fps,V5_Standart,ZLIB,19,34.1,27.67
12331098_1080_1920_25fps,V5_Standart,ZLIB,20,34.18,27.75
12331098_1080_1920_25fps,V5_Standart,ZLIB,21,33.95,27.82
12331098_1080_1920_25fps,V5_Standart,ZLIB,22,34.22,27.88
12331098_1080_1920_25fps,V5_Standart,ZLIB,23,34.12,27.93
12331098_1080_1920_25fps,V5_Standart,ZLIB,24,34.11,27.99
12331098_1080_1920_25fps,V5_Standart,ZLIB,25,34.07,28.04
12331098_1080_1920_25fps,V5_Standart,ZLIB,26,34.09,28.08
12331098_1080_1920_25fps,V5_Standart,ZLIB,27,33.95,28.13
12331098_1080_1920_25fps,V5_Standart,ZLIB,28,34.07,28.17
12331098_1080_1920_25fps,V5_Standart,ZLIB,29,34.09,28.21
12331098_1080_1920_25fps,V5_Standart,ZLIB,30,33.9,28.83
12331098_1080_1920_25fps,V5_Standart,ZLIB,31,33.94,29.14
12331098_1080_1920_25fps,V5_Standart,ZLIB,32,34.05,29.18
12331098_1080_1920_25fps,V5_Standart,ZLIB,33,34.07,29.2
12331098_1080_1920_25fps,V5_Standart,ZLIB,34,34.07,29.23
12331098_1080_1920_25fps,V5_Standart,ZLIB,35,34.07,29.25
12331098_1080_1920_25fps,V5_Standart,ZLIB,36,34.09,29.27
12331098_1080_1920_25fps,V5_Standart,ZLIB,37,33.95,29.29
12331098_1080_1920_25fps,V5_Standart,ZLIB,38,34.12,29.31
12331098_1080_1920_25fps,V5_Standart,ZLIB,39,34.35,29.31
12331098_1080_1920_25fps,V5_Standart,ZLIB,40,34.18,29.3
12331098_1080_1920_25fps,V5_Standart,ZLIB,41,34.13,29.3
12331098_1080_1920_25fps,V5_Standart,ZLIB,42,34.28,29.33
12331098_1080_1920_25fps,V5_Standart,ZLIB,43,34.33,29.32
12331098_1080_1920_25fps,V5_Standart,ZLIB,44,34.25,29.32
12331098_1080_1920_25fps,V5_Standart,ZLIB,45,34.07,29.32
12331098_1080_1920_25fps,V5_Standart,ZLIB,46,34.27,29.31
12331098_1080_1920_25fps,V5_Standart,ZLIB,47,35.01,29.29
12331098_1080_1920_25fps,V5_Standart,ZLIB,48,34.08,29.29
12331098_1080_1920_25fps,V5_Standart,ZLIB,49,34.02,29.29
12331098_1080_1920_25fps,V5_Standart,ZLIB,50,34.33,29.29
12331098_1080_1920_25fps,V5_Standart,ZLIB,51,34.09,29.29
