Video,Model,Aktarim_Modu,Frame_ID,PSNR_dB,SSIM
12331098_1080_1920_25fps,V5_Standart,ZLIB,0,35.96,0.9415
12331098_1080_1920_25fps,V5_Standart,ZLIB,1,36.13,0.9435
12331098_1080_1920_25fps,V5_Standart,ZLIB,2,36.05,0.9414
12331098_1080_1920_25fps,V5_Standart,ZLIB,3,36.09,0.9427
12331098_1080_1920_25fps,V5_Standart,ZLIB,4,36.05,0.9422
12331098_1080_1920_25fps,V5_Standart,ZLIB,5,35.53,0.9338
12331098_1080_1920_25fps,V5_Standart,ZLIB,6,36.13,0.9432
12331098_1080_1920_25fps,V5_Standart,ZLIB,7,36.23,0.9442
12331098_1080_1920_25fps,V5_Standart,ZLIB,8,36.16,0.94
12331098_1080_1920_25fps,V5_Standart,ZLIB,9,36.36,0.9408
12331098_1080_1920_25fps,V5_Standart,ZLIB,10,36.12,0.9368
12331098_1080_1920_25fps,V5_Standart,ZLIB,11,36.23,0.9359
12331098_1080_1920_25fps,V5_Standart,ZLIB,12,36.24,0.9342
12331098_1080_1920_25fps,V5_Standart,ZLIB,13,36.3,0.9325
12331098_1080_1920_25fps,V5_Standart,ZLIB,14,36.32,0.9347
12331098_1080_1920_25fps,V5_Standart,ZLIB,15,36.35,0.9335
12331098_1080_1920_25fps,V5_Standart,ZLIB,16,36.36,0.9347
12331098_1080_1920_25fps,V5_Standart,ZLIB,17,36.43,0.9364
12331098_1080_1920_25fps,V5_Standart,ZLIB,18,36.39,0.9359
12331098_1080_1920_25fps,V5_Standart,ZLIB,19,36.56,0.9369
12331098_1080_1920_25fps,V5_Standart,ZLIB,20,36.44,0.9358
12331098_1080_1920_25fps,V5_Standart,ZLIB,21,36.54,0.9368
12331098_1080_1920_25fps,V5_Standart,ZLIB,22,36.5,0.9372
12331098_1080_1920_25fps,V5_Standart,ZLIB,23,36.53,0.9375
12331098_1080_1920_25fps,V5_Standart,ZLIB,24,36.57,0.9389
12331098_1080_1920_25fps,V5_Standart,ZLIB,25,36.54,0.9376
12331098_1080_1920_25fps,V5_Standart,ZLIB,26,36.53,0.9391
12331098_1080_1920_25fps,V5_Standart,ZLIB,27,36.63,0.9412
12331098_1080_1920_25fps,V5_Standart,ZLIB,28,36.52,0.9401
12331098_1080_1920_25fps,V5_Standart,ZLIB,29,36.56,0.9409
12331098_1080_1920_25fps,V5_Standart,ZLIB,30,36.53,0.9393
12331098_1080_1920_25fps,V5_Standart,ZLIB,31,36.68,0.9431
12331098_1080_1920_25fps,V5_Standart,ZLIB,32,36.66,0.9427
12331098_1080_1920_25fps,V5_Standart,ZLIB,33,36.64,0.9449
12331098_1080_1920_25fps,V5_Standart,ZLIB,34,36.64,0.9446
12331098_1080_1920_25fps,V5_Standart,ZLIB,35,36.68,0.9457
12331098_1080_1920_25fps,V5_Standart,ZLIB,36,36.61,0.9449
12331098_1080_1920_25fps,V5_Standart,ZLIB,37,36.73,0.9473
12331098_1080_1920_25fps,V5_Standart,ZLIB,38,36.56,0.9453
12331098_1080_1920_25fps,V5_Standart,ZLIB,39,36.74,0.9479
12331098_1080_1920_25fps,V5_Standart,ZLIB,40,36.63,0.9462
12331098_1080_1920_25fps,V5_Standart,ZLIB,41,36.8,0.949
12331098_1080_1920_25fps,V5_Standart,ZLIB,42,36.69,0.9483
12331098_1080_1920_25fps,V5_Standart,ZLIB,43,36.87,0.952
12331098_1080_1920_25fps,V5_Standart,ZLIB,44,36.78,0.9509
12331098_1080_1920_25fps,V5_Standart,ZLIB,45,36.8,0.9512
12331098_1080_1920_25fps,V5_Standart,ZLIB,46,36.75,0.9489
12331098_1080_1920_25fps,V5_Standart,ZLIB,47,36.99,0.9521
12331098_1080_1920_25fps,V5_Standart,ZLIB,48,36.8,0.9513
12331098_1080_1920_25fps,V5_Standart,ZLIB,49,37.04,0.9533
12331098_1080_1920_25fps,V5_Standart,ZLIB,50,36.65,0.9493
12331098_1080_1920_25fps,V5_Standart,ZLIB,51,36.95,0.9523
12331098_1080_1920_25fps,V5_Standart,ZLIB,52,36.89,0.9511
12331098_1080_1920_25fps,V5_Standart,ZLIB,53,36.9,0.9528
12331098_1080_1920_25fps,V5_Standart,ZLIB,54,36.83,0.9515
12331098_1080_1920_25fps,V5_Standart,ZLIB,55,36.83,0.952
12331098_1080_1920_25fps,V5_Standart,ZLIB,56,36.75,0.9507
12331098_1080_1920_25fps,V5_Standart,ZLIB,57,36.84,0.9526
12331098_1080_1920_25fps,V5_Standart,ZLIB,58,36.63,0.9498
12331098_1080_1920_25fps,V5_Standart,ZLIB,59,36.71,0.9511
12331098_1080_1920_25fps,V5_Standart,ZLIB,60,36.55,0.9495
12331098_1080_1920_25fps,V5_Standart,ZLIB,61,36.71,0.9517
12331098_1080_1920_25fps,V5_Standart,ZLIB,62,36.53,0.95
12331098_1080_1920_25fps,V5_Standart,ZLIB,63,36.6,0.9505
12331098_1080_1920_25fps,V5_Standart,ZLIB,64,36.5,0.9477
12331098_1080_1920_25fps,V5_Standart,ZLIB,65,36.43,0.9463
12331098_1080_1920_25fps,V5_Standart,ZLIB,66,36.33,0.946
12331098_1080_1920_25fps,V5_Standart,ZLIB,67,36.48,0.9489
12331098_1080_1920_25fps,V5_Standart,ZLIB,68,36.33,0.9486
12331098_1080_1920_25fps,V5_Standart,ZLIB,69,36.44,0.9509
12331098_1080_1920_25fps,V5_Standart,ZLIB,70,36.24,0.9495
12331098_1080_1920_25fps,V5_Standart,ZLIB,71,36.38,0.9524
12331098_1080_1920_25fps,V5_Standart,ZLIB,72,36.3,0.952
12331098_1080_1920_25fps,V5_Standart,ZLIB,73,36.33,0.9539
12331098_1080_1920_25fps,V5_Standart,ZLIB,74,36.24,0.9532
12331098_1080_1920_25fps,V5_Standart,ZLIB,75,36.26,0.9533
12331098_1080_1920_25fps,V5_Standart,ZLIB,76,36.18,0.9521
12331098_1080_1920_25fps,V5_Standart,ZLIB,77,36.31,0.9534
12331098_1080_1920_25fps,V5_Standart,ZLIB,78,36.23,0.9516
12331098_1080_1920_25fps,V5_Standart,ZLIB,79,36.38,0.953
12331098_1080_1920_25fps,V5_Standart,ZLIB,80,36.21,0.9503
12331098_1080_1920_25fps,V5_Standart,ZLIB,81,36.33,0.9512
12331098_1080_1920_25fps,V5_Standart,ZLIB,82,36.3,0.9506
12331098_1080_1920_25fps,V5_Standart,ZLIB,83,36.29,0.951
12331098_1080_1920_25fps,V5_Standart,ZLIB,84,36.25,0.9511
12331098_1080_1920_25fps,V5_Standart,ZLIB,85,36.19,0.9517
12331098_1080_1920_25fps,V5_Standart,ZLIB,86,36.14,0.9517
12331098_1080_1920_25fps,V5_Standart,ZLIB,87,36.23,0.9541
12331098_1080_1920_25fps,V5_Standart,ZLIB,88,36.13,0.9548
12331098_1080_1920_25fps,V5_Standart,ZLIB,89,36.15,0.9563
