Resim,PSNR (dB),SSIM,L1_Loss,VGG_Loss,Sifirlanan_Alan (%),Raw_Uncompressed_Size (KB),Original_ZIPPED_KB,Model_ZIPPED_KB,Bilesik_Skor
0857.png,34.69,0.9563,0.0138,0.1927,0.09,8462.81,6681.81,5610.92,0.57488
0816.png,30.69,0.9861,0.0153,0.141,10.88,8104.22,5943.72,4571.12,0.47241
0835.png,25.16,0.9151,0.0355,0.6972,5.31,9682.03,8963.18,7324.48,0.76791
0889.png,20.29,0.8875,0.0747,1.3341,5.91,8104.22,7543.0,5515.32,0.6262
0834.png,23.15,0.9645,0.051,0.702,37.0,8104.22,5313.03,3780.37,0.42908
0804.png,29.03,0.9553,0.0245,0.6406,10.71,7171.88,6056.66,4747.25,0.49925
0802.png,18.51,0.762,0.0904,1.0241,0.01,8104.22,7060.7,5302.12,0.62065
0872.png,29.9,0.9743,0.0217,0.5632,5.18,8104.22,7350.73,6092.59,0.631
0866.png,29.13,0.9713,0.0225,0.5343,3.84,8104.22,6976.22,5140.06,0.53649
0846.png,23.21,0.9404,0.0472,0.4553,33.25,8175.94,4595.83,4248.25,0.47202
0884.png,30.19,0.9537,0.0207,0.5011,1.91,8104.22,7107.38,5889.59,0.60965
0876.png,28.82,0.9162,0.0247,1.1104,1.31,8104.22,6548.94,6673.11,0.69205
0807.png,19.08,0.8273,0.081,2.4634,3.85,6741.56,6217.95,5352.21,0.61626
0881.png,31.81,0.981,0.0161,0.3033,3.56,7530.47,5035.91,4001.35,0.4162
0821.png,28.28,0.9157,0.0234,0.5842,0.15,8104.22,6463.59,5504.12,0.57386
0809.png,23.15,0.9665,0.0431,0.4145,0.19,8104.22,7292.77,5230.62,0.56615
0824.png,31.95,0.9794,0.0151,0.2918,5.48,8104.22,4258.7,4140.43,0.42917
0801.png,35.34,0.9863,0.0119,0.3292,3.15,8104.22,7168.07,5408.86,0.55274
0825.png,28.9,0.9665,0.0237,0.5558,4.48,8104.22,6618.85,5368.91,0.56059
