Resim,PSNR (dB),SSIM,L1_Loss,VGG_Loss,Sifirlanan_Alan (%),Raw_Uncompressed_Size (KB),Original_ZIPPED_KB,Model_ZIPPED_KB,Bilesik_Skor
0857.png,33.78,0.936,0.0154,0.2489,0.09,8462.81,6681.81,4913.85,0.50678
0816.png,35.37,0.9863,0.0117,0.1283,0.0,8104.22,5943.72,4326.11,0.44436
0835.png,25.13,0.9094,0.0369,0.7306,0.59,9682.03,8963.18,6968.58,0.73373
0889.png,20.17,0.8832,0.0764,1.2677,0.39,8104.22,7543.0,5274.04,0.60377
0834.png,25.24,0.9719,0.042,0.6039,0.04,8104.22,5313.03,4191.81,0.46121
0804.png,28.4,0.9499,0.0248,0.6721,0.88,7171.88,6056.66,4623.42,0.48715
0802.png,17.74,0.7396,0.1041,1.0291,0.0,8104.22,7060.7,4732.37,0.57729
0872.png,31.02,0.9742,0.0203,0.5215,0.15,8104.22,7350.73,6019.0,0.62216
0866.png,28.63,0.9695,0.0249,0.5522,0.01,8104.22,6976.22,4717.29,0.49662
0846.png,28.05,0.9279,0.0309,0.5006,0.02,8175.94,4595.83,4294.5,0.46036
0884.png,30.29,0.9482,0.0216,0.5317,0.0,8104.22,7107.38,5614.7,0.58307
0876.png,27.81,0.8829,0.0295,1.283,0.03,8104.22,6548.94,6225.72,0.6521
0807.png,19.46,0.8201,0.0798,2.5526,3.74,6741.56,6217.95,5160.29,0.59584
0881.png,30.98,0.9755,0.0185,0.3214,0.0,7530.47,5035.91,3761.19,0.39463
0821.png,26.98,0.9021,0.0279,0.6778,0.06,8104.22,6463.59,5141.07,0.54201
0809.png,22.7,0.9591,0.0486,0.4176,0.0,8104.22,7292.77,4613.66,0.50994
0824.png,32.55,0.9787,0.0162,0.2957,0.27,8104.22,4258.7,3909.7,0.40715
0801.png,36.3,0.9869,0.0115,0.3233,0.0,8104.22,7168.07,4914.4,0.50298
0825.png,30.6,0.9699,0.0207,0.4717,0.03,8104.22,6618.85,5201.57,0.54086
0864.png,37.12,0.9867,0.0111,0.1449,0.0,8104.22,6031.62,4967.91,0.50794
0856.png,27.09,0.9075,0.0316,1.6078,1.24,8104.22,6875.66,5950.71,0.62667
0871.png,30.26,0.9772,0.0205,0.3698,0.34,8104.22,5992.02,4229.88,0.44345
0819.png,25.48,0.9545,0.0338,0.7681,0.01,8104.22,7183.57,5040.75,0.53791
0837.png,29.19,0.9634,0.022,0.6657,0.01,8104.22,6437.37,5335.2,0.55556
